step_idx,timestamp,pos_x,pos_y,pos_z,quat_x,quat_y,quat_z,quat_w,dvl_vel_x,dvl_vel_y,dvl_vel_z,dvl_alt,imu_orient_x,imu_orient_y,imu_orient_z,imu_orient_w,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_accel_x,imu_accel_y,imu_accel_z
83,83.194,12.289,22.690,7.059,-0.020,0.043,0.222,0.974,-0.641,0.001,-0.064,14.605,-0.020,0.043,0.222,0.974,0.000,-0.000,-0.002,0.918,0.202,-9.766
84,84.363,12.966,23.017,7.062,-0.020,0.043,0.221,0.974,-0.642,0.001,-0.061,14.566,-0.020,0.043,0.221,0.974,0.000,-0.000,-0.003,0.912,0.202,-9.768
85,85.546,13.645,23.343,7.061,-0.020,0.043,0.219,0.975,-0.643,0.002,-0.058,14.381,-0.020,0.043,0.219,0.975,0.000,0.001,-0.003,0.916,0.201,-9.768
86,86.715,14.345,23.676,7.055,-0.020,0.043,0.218,0.975,-0.645,0.002,-0.055,14.787,-0.020,0.043,0.218,0.975,0.000,-0.000,-0.003,0.916,0.201,-9.767
87,87.918,15.048,24.008,7.049,-0.020,0.044,0.216,0.975,-0.646,0.002,-0.056,14.835,-0.020,0.044,0.216,0.975,0.000,0.000,-0.002,0.922,0.201,-9.764
88,89.088,15.733,24.330,7.046,-0.020,0.044,0.216,0.975,-0.646,0.001,-0.060,14.879,-0.020,0.044,0.216,0.975,0.000,-0.000,-0.001,0.925,0.201,-9.761
89,89.924,16.223,24.559,7.046,-0.020,0.044,0.215,0.975,-0.646,0.001,-0.063,14.502,-0.020,0.044,0.215,0.975,0.000,0.000,-0.001,0.924,0.201,-9.761
90,90.659,16.654,24.760,7.048,-0.020,0.044,0.215,0.975,-0.646,0.001,-0.064,14.722,-0.020,0.044,0.215,0.975,0.000,-0.000,-0.001,0.922,0.201,-9.763
91,91.863,17.360,25.089,7.053,-0.020,0.044,0.214,0.976,-0.646,0.001,-0.064,14.778,-0.020,0.044,0.214,0.976,0.000,-0.000,-0.002,0.919,0.201,-9.766
92,93.032,17.971,25.373,7.062,-0.001,0.014,0.170,0.985,-0.471,0.017,-0.052,15.134,-0.001,0.014,0.170,0.985,-0.015,-0.118,-0.151,0.060,-0.044,-9.796
93,94.169,18.316,25.532,7.082,-0.003,0.001,0.065,0.998,-0.256,0.051,-0.009,14.249,-0.003,0.001,0.065,0.998,-0.008,0.058,-0.236,-0.090,0.020,-9.813
94,95.305,18.516,25.625,7.096,-0.000,0.010,-0.075,0.997,-0.127,0.059,-0.018,14.540,-0.000,0.010,-0.075,0.997,0.009,-0.042,-0.235,0.152,-0.017,-9.813
95,96.441,18.637,25.680,7.101,-0.002,-0.003,-0.212,0.977,-0.066,0.045,-0.000,14.654,-0.002,-0.003,-0.212,0.977,-0.006,0.021,-0.266,-0.098,0.004,-9.819
96,97.577,18.707,25.714,7.097,0.002,0.008,-0.359,0.933,-0.023,0.023,0.006,14.925,0.002,0.008,-0.359,0.933,0.009,-0.009,-0.275,0.147,-0.001,-9.815
97,98.346,18.738,25.728,7.090,-0.001,-0.001,-0.453,0.892,-0.007,0.010,0.007,15.178,-0.001,-0.001,-0.453,0.892,-0.001,-0.020,-0.265,-0.027,-0.012,-9.813
98,99.081,18.758,25.738,7.082,-0.001,-0.000,-0.544,0.839,0.000,-0.003,0.011,15.069,-0.001,-0.000,-0.544,0.839,-0.002,0.018,-0.278,-0.019,0.009,-9.809
99,99.850,18.772,25.745,7.076,0.002,0.004,-0.630,0.777,0.004,-0.013,0.008,14.213,0.002,0.004,-0.630,0.777,0.005,0.005,-0.279,0.102,0.008,-9.807
